tIyu tI(N30NEUT)+yu_#_NOM
tIgalYanno tI(N30NEUT)+galYu_#_ACC+lYanno_lYu_PRES
tIgalYanne tI(N30NEUT)+galYu_#_ACC+lYanne_lYu_IMPH
tIgalYanne tI(N30NEUT)+galYu_#_ACC+lYanne_lYu_DECL
tIgalYanne tI(N30NEUT)+galYu_#_ACC+lYanne_lYu_RIS
tIgalYiMxalA tI(N30NEUT)+galYu_#_INS+lYiMxalA_lYu_INTR
tIgalYiMxalU tI(N30NEUT)+galYu_#_INS+lYiMxalU_lYu_INCL
tIgalYiMxalo tI(N30NEUT)+galYu_#_INS+lYiMxalo_lYu_DUB
tIgalYiMxalo tI(N30NEUT)+galYu_#_INS+lYiMxalo_lYu_INDF
tIgalYiMxalo tI(N30NEUT)+galYu_#_INS+lYiMxalo_lYu_PRES
tIgalYiMxale tI(N30NEUT)+galYu_#_INS+lYiMxale_lYu_IMPH
tIgalYiMxale tI(N30NEUT)+galYu_#_INS+lYiMxale_lYu_DECL
tIgalYiMxale tI(N30NEUT)+galYu_#_INS+lYiMxale_lYu_RIS
tIgalYigA tI(N30NEUT)+galYu_#_DAT+lYigA_lYu_INTR
tIgalYigU tI(N30NEUT)+galYu_#_DAT+lYigU_lYu_INCL
tIgalYigo tI(N30NEUT)+galYu_#_DAT+lYigo_lYu_DUB
tIgalYigo tI(N30NEUT)+galYu_#_DAT+lYigo_lYu_INDF
tIgalYigo tI(N30NEUT)+galYu_#_DAT+lYigo_lYu_PRES
tIgalYige tI(N30NEUT)+galYu_#_DAT+lYige_lYu_IMPH
tIgalYige tI(N30NEUT)+galYu_#_DAT+lYige_lYu_DECL
tIgalYige tI(N30NEUT)+galYu_#_DAT+lYige_lYu_RIS
tIgalYiMxalA tI(N30NEUT)+galYu_#_ABL+lYiMxalA_lYu_INTR
tIgalYiMxalU tI(N30NEUT)+galYu_#_ABL+lYiMxalU_lYu_INCL
tIgalYiMxalo tI(N30NEUT)+galYu_#_ABL+lYiMxalo_lYu_DUB
tIgalYiMxalo tI(N30NEUT)+galYu_#_ABL+lYiMxalo_lYu_INDF
tIgalYiMxalo tI(N30NEUT)+galYu_#_ABL+lYiMxalo_lYu_PRES
tIgalYiMxale tI(N30NEUT)+galYu_#_ABL+lYiMxale_lYu_IMPH
tIgalYiMxale tI(N30NEUT)+galYu_#_ABL+lYiMxale_lYu_DECL
tIgalYiMxale tI(N30NEUT)+galYu_#_ABL+lYiMxale_lYu_RIS
tIgalYallA tI(N30NEUT)+galYu_#_LOC+lYallA_lYu_INTR
tIgalYallU tI(N30NEUT)+galYu_#_LOC+lYallU_lYu_INCL
tIgalYallo tI(N30NEUT)+galYu_#_LOC+lYallo_lYu_DUB
tIgalYallo tI(N30NEUT)+galYu_#_LOC+lYallo_lYu_INDF
tIgalYallo tI(N30NEUT)+galYu_#_LOC+lYallo_lYu_PRES
tIgalYalle tI(N30NEUT)+galYu_#_LOC+lYalle_lYu_IMPH
tIgalYalle tI(N30NEUT)+galYu_#_LOC+lYalle_lYu_DECL
tIgalYalle tI(N30NEUT)+galYu_#_LOC+lYalle_lYu_RIS
tIgoskaravA tI(N30NEUT)+goskara_#_BEN+vA_#_INTR
tIgoskaravU tI(N30NEUT)+goskara_#_BEN+vU_#_INCL
tIgoskaravo tI(N30NEUT)+goskara_#_BEN+vo_#_DUB
tIgoskaravo tI(N30NEUT)+goskara_#_BEN+vo_#_INDF
tIgoskaravo tI(N30NEUT)+goskara_#_BEN+vo_#_PRES
tIgoskarave tI(N30NEUT)+goskara_#_BEN+ve_#_IMPH
tIgoskarave tI(N30NEUT)+goskara_#_BEN+ve_#_DECL
tIgoskarave tI(N30NEUT)+goskara_#_BEN+ve_#_RIS
tIgoskaravA tI(N30NEUT)+goskara_#_PUR+vA_#_INTR
tIgoskaravU tI(N30NEUT)+goskara_#_PUR+vU_#_INCL
tIgoskaravo tI(N30NEUT)+goskara_#_PUR+vo_#_DUB
tIgoskaravo tI(N30NEUT)+goskara_#_PUR+vo_#_INDF
tIgoskaravo tI(N30NEUT)+goskara_#_PUR+vo_#_PRES
tIgoskarave tI(N30NEUT)+goskara_#_PUR+ve_#_IMPH
tIgoskarave tI(N30NEUT)+goskara_#_PUR+ve_#_DECL
tIgoskarave tI(N30NEUT)+goskara_#_PUR+ve_#_RIS
tIgAgiyA tI(N30NEUT)+gAgi_#_BEN+yA_#_INTR
tIgAgiyU tI(N30NEUT)+gAgi_#_BEN+yU_#_INCL
tIgAgiyo tI(N30NEUT)+gAgi_#_BEN+yo_#_DUB
tIgAgiyo tI(N30NEUT)+gAgi_#_BEN+yo_#_INDF
tIgAgiyo tI(N30NEUT)+gAgi_#_BEN+yo_#_PRES
tIgAgiye tI(N30NEUT)+gAgi_#_BEN+ye_#_IMPH
tIgAgiye tI(N30NEUT)+gAgi_#_BEN+ye_#_DECL
tIgAgiye tI(N30NEUT)+gAgi_#_BEN+ye_#_RIS
tIgAgiyA tI(N30NEUT)+gAgi_#_PUR+yA_#_INTR
tIgAgiyU tI(N30NEUT)+gAgi_#_PUR+yU_#_INCL
tIgAgiyo tI(N30NEUT)+gAgi_#_PUR+yo_#_DUB
tIgAgiyo tI(N30NEUT)+gAgi_#_PUR+yo_#_INDF
tIgAgiyo tI(N30NEUT)+gAgi_#_PUR+yo_#_PRES
tIgAgiye tI(N30NEUT)+gAgi_#_PUR+ye_#_IMPH
tIgAgiye tI(N30NEUT)+gAgi_#_PUR+ye_#_DECL
tIgAgiye tI(N30NEUT)+gAgi_#_PUR+ye_#_RIS
tIgosugavA tI(N30NEUT)+gosuga_#_BEN+vA_#_INTR
tIgosugavU tI(N30NEUT)+gosuga_#_BEN+vU_#_INCL
tIgosugavo tI(N30NEUT)+gosuga_#_BEN+vo_#_DUB
tIgosugavo tI(N30NEUT)+gosuga_#_BEN+vo_#_INDF
tIgosugavo tI(N30NEUT)+gosuga_#_BEN+vo_#_PRES
tIgosugave tI(N30NEUT)+gosuga_#_BEN+ve_#_IMPH
tIgosugave tI(N30NEUT)+gosuga_#_BEN+ve_#_DECL
tIgosugave tI(N30NEUT)+gosuga_#_BEN+ve_#_RIS
tIgosugavA tI(N30NEUT)+gosuga_#_PUR+vA_#_INTR
tIgosugavU tI(N30NEUT)+gosuga_#_PUR+vU_#_INCL
tIgosugavo tI(N30NEUT)+gosuga_#_PUR+vo_#_DUB
tIgosugavo tI(N30NEUT)+gosuga_#_PUR+vo_#_INDF
tIgosugavo tI(N30NEUT)+gosuga_#_PUR+vo_#_PRES
tIgosugave tI(N30NEUT)+gosuga_#_PUR+ve_#_IMPH
tIgosugave tI(N30NEUT)+gosuga_#_PUR+ve_#_DECL
tIgosugave tI(N30NEUT)+gosuga_#_PUR+ve_#_RIS
tIgiMwalA tI(N30NEUT)+giMwa_#_COMP+lA_#_INTR
tIgiMwalU tI(N30NEUT)+giMwa_#_COMP+lU_#_INCL
tIgiMwalo tI(N30NEUT)+giMwa_#_COMP+lo_#_DUB
tIgiMwalo tI(N30NEUT)+giMwa_#_COMP+lo_#_INDF
tIgiMwalo tI(N30NEUT)+giMwa_#_COMP+lo_#_PRES
tIgiMwale tI(N30NEUT)+giMwa_#_COMP+le_#_IMPH
tIgiMwale tI(N30NEUT)+giMwa_#_COMP+le_#_DECL
tIgiMwale tI(N30NEUT)+giMwa_#_COMP+le_#_RIS
tIyaMweVyA tI(N30NEUT)+yaMweV_#_SIM+yA_#_INTR
tIyaMweVyU tI(N30NEUT)+yaMweV_#_SIM+yU_#_INCL
tIyaMweVyo tI(N30NEUT)+yaMweV_#_SIM+yo_#_DUB
tIyaMweVyo tI(N30NEUT)+yaMweV_#_SIM+yo_#_INDF
tIyaMweVyo tI(N30NEUT)+yaMweV_#_SIM+yo_#_PRES
tIyaMweVye tI(N30NEUT)+yaMweV_#_SIM+ye_#_IMPH
tIyaMweVye tI(N30NEUT)+yaMweV_#_SIM+ye_#_DECL
tIyaMweVye tI(N30NEUT)+yaMweV_#_SIM+ye_#_RIS
tIyoVdaneVyA tI(N30NEUT)+yoVdaneV_#_SOC+yA_#_INTR
tIyoVdaneVyU tI(N30NEUT)+yoVdaneV_#_SOC+yU_#_INCL
tIyoVdaneVyo tI(N30NEUT)+yoVdaneV_#_SOC+yo_#_DUB
tIyoVdaneVyo tI(N30NEUT)+yoVdaneV_#_SOC+yo_#_INDF
tIyoVdaneVyo tI(N30NEUT)+yoVdaneV_#_SOC+yo_#_PRES
tIyoVdaneVye tI(N30NEUT)+yoVdaneV_#_SOC+ye_#_IMPH
tIyoVdaneVye tI(N30NEUT)+yoVdaneV_#_SOC+ye_#_DECL
tIyoVdaneVye tI(N30NEUT)+yoVdaneV_#_SOC+ye_#_RIS
tIyoVMxigeVyA tI(N30NEUT)+yoVMxigeV_#_SOC+yA_#_INTR
tIyoVMxigeVyU tI(N30NEUT)+yoVMxigeV_#_SOC+yU_#_INCL
tIyoVMxigeVyo tI(N30NEUT)+yoVMxigeV_#_SOC+yo_#_DUB
tIyoVMxigeVyo tI(N30NEUT)+yoVMxigeV_#_SOC+yo_#_INDF
tIyoVMxigeVyo tI(N30NEUT)+yoVMxigeV_#_SOC+yo_#_PRES
tIyoVMxigeVye tI(N30NEUT)+yoVMxigeV_#_SOC+ye_#_IMPH
tIyoVMxigeVye tI(N30NEUT)+yoVMxigeV_#_SOC+ye_#_DECL
tIyoVMxigeVye tI(N30NEUT)+yoVMxigeV_#_SOC+ye_#_RIS
tIgalYigoskaravA tI(N30NEUT)+galYu_#_BEN+lYigoskaravA_lYu_INTR
tIgalYigoskaravU tI(N30NEUT)+galYu_#_BEN+lYigoskaravU_lYu_INCL
tIgalYigoskaravo tI(N30NEUT)+galYu_#_BEN+lYigoskaravo_lYu_DUB
tIgalYigoskaravo tI(N30NEUT)+galYu_#_BEN+lYigoskaravo_lYu_INDF
tIgalYigoskaravo tI(N30NEUT)+galYu_#_BEN+lYigoskaravo_lYu_PRES
tIgalYigoskarave tI(N30NEUT)+galYu_#_BEN+lYigoskarave_lYu_IMPH
tIgalYigoskarave tI(N30NEUT)+galYu_#_BEN+lYigoskarave_lYu_DECL
tIgalYigoskarave tI(N30NEUT)+galYu_#_BEN+lYigoskarave_lYu_RIS
tIgalYigoskaravA tI(N30NEUT)+galYu_#_PUR+lYigoskaravA_lYu_INTR
tIgalYigoskaravU tI(N30NEUT)+galYu_#_PUR+lYigoskaravU_lYu_INCL
tIgalYigoskaravo tI(N30NEUT)+galYu_#_PUR+lYigoskaravo_lYu_DUB
tIgalYigoskaravo tI(N30NEUT)+galYu_#_PUR+lYigoskaravo_lYu_INDF
tIgalYigoskaravo tI(N30NEUT)+galYu_#_PUR+lYigoskaravo_lYu_PRES
tIgalYigoskarave tI(N30NEUT)+galYu_#_PUR+lYigoskarave_lYu_IMPH
tIgalYigoskarave tI(N30NEUT)+galYu_#_PUR+lYigoskarave_lYu_DECL
tIgalYigoskarave tI(N30NEUT)+galYu_#_PUR+lYigoskarave_lYu_RIS
tIgalYigAgiyA tI(N30NEUT)+galYu_#_BEN+lYigAgiyA_lYu_INTR
tIgalYigAgiyU tI(N30NEUT)+galYu_#_BEN+lYigAgiyU_lYu_INCL
tIgalYigAgiyo tI(N30NEUT)+galYu_#_BEN+lYigAgiyo_lYu_DUB
tIgalYigAgiyo tI(N30NEUT)+galYu_#_BEN+lYigAgiyo_lYu_INDF
tIgalYigAgiyo tI(N30NEUT)+galYu_#_BEN+lYigAgiyo_lYu_PRES
tIgalYigAgiye tI(N30NEUT)+galYu_#_BEN+lYigAgiye_lYu_IMPH
tIgalYigAgiye tI(N30NEUT)+galYu_#_BEN+lYigAgiye_lYu_DECL
tIgalYigAgiye tI(N30NEUT)+galYu_#_BEN+lYigAgiye_lYu_RIS
tIgalYigAgiyA tI(N30NEUT)+galYu_#_PUR+lYigAgiyA_lYu_INTR
tIgalYigAgiyU tI(N30NEUT)+galYu_#_PUR+lYigAgiyU_lYu_INCL
tIgalYigAgiyo tI(N30NEUT)+galYu_#_PUR+lYigAgiyo_lYu_DUB
tIgalYigAgiyo tI(N30NEUT)+galYu_#_PUR+lYigAgiyo_lYu_INDF
tIgalYigAgiyo tI(N30NEUT)+galYu_#_PUR+lYigAgiyo_lYu_PRES
tIgalYigAgiye tI(N30NEUT)+galYu_#_PUR+lYigAgiye_lYu_IMPH
tIgalYigAgiye tI(N30NEUT)+galYu_#_PUR+lYigAgiye_lYu_DECL
tIgalYigAgiye tI(N30NEUT)+galYu_#_PUR+lYigAgiye_lYu_RIS
tIgalYigosugavA tI(N30NEUT)+galYu_#_BEN+lYigosugavA_lYu_INTR
tIgalYigosugavU tI(N30NEUT)+galYu_#_BEN+lYigosugavU_lYu_INCL
tIgalYigosugavo tI(N30NEUT)+galYu_#_BEN+lYigosugavo_lYu_DUB
tIgalYigosugavo tI(N30NEUT)+galYu_#_BEN+lYigosugavo_lYu_INDF
tIgalYigosugavo tI(N30NEUT)+galYu_#_BEN+lYigosugavo_lYu_PRES
tIgalYigosugave tI(N30NEUT)+galYu_#_BEN+lYigosugave_lYu_IMPH
tIgalYigosugave tI(N30NEUT)+galYu_#_BEN+lYigosugave_lYu_DECL
tIgalYigosugave tI(N30NEUT)+galYu_#_BEN+lYigosugave_lYu_RIS
tIgalYigosugavA tI(N30NEUT)+galYu_#_PUR+lYigosugavA_lYu_INTR
tIgalYigosugavU tI(N30NEUT)+galYu_#_PUR+lYigosugavU_lYu_INCL
tIgalYigosugavo tI(N30NEUT)+galYu_#_PUR+lYigosugavo_lYu_DUB
tIgalYigosugavo tI(N30NEUT)+galYu_#_PUR+lYigosugavo_lYu_INDF
tIgalYigosugavo tI(N30NEUT)+galYu_#_PUR+lYigosugavo_lYu_PRES
tIgalYigosugave tI(N30NEUT)+galYu_#_PUR+lYigosugave_lYu_IMPH
tIgalYigosugave tI(N30NEUT)+galYu_#_PUR+lYigosugave_lYu_DECL
tIgalYigosugave tI(N30NEUT)+galYu_#_PUR+lYigosugave_lYu_RIS
tIgalYigiMwalA tI(N30NEUT)+galYu_#_COMP+lYigiMwalA_lYu_INTR
tIgalYigiMwalU tI(N30NEUT)+galYu_#_COMP+lYigiMwalU_lYu_INCL
tIgalYigiMwalo tI(N30NEUT)+galYu_#_COMP+lYigiMwalo_lYu_DUB
tIgalYigiMwalo tI(N30NEUT)+galYu_#_COMP+lYigiMwalo_lYu_INDF
tIgalYigiMwalo tI(N30NEUT)+galYu_#_COMP+lYigiMwalo_lYu_PRES
tIgalYigiMwale tI(N30NEUT)+galYu_#_COMP+lYigiMwale_lYu_IMPH
tIgalYigiMwale tI(N30NEUT)+galYu_#_COMP+lYigiMwale_lYu_DECL
tIgalYigiMwale tI(N30NEUT)+galYu_#_COMP+lYigiMwale_lYu_RIS
tIgalYaMweVyA tI(N30NEUT)+galYu_#_SIM+lYaMweVyA_lYu_INTR
tIgalYaMweVyU tI(N30NEUT)+galYu_#_SIM+lYaMweVyU_lYu_INCL
tIgalYaMweVyo tI(N30NEUT)+galYu_#_SIM+lYaMweVyo_lYu_DUB
tIgalYaMweVyo tI(N30NEUT)+galYu_#_SIM+lYaMweVyo_lYu_INDF
tIgalYaMweVyo tI(N30NEUT)+galYu_#_SIM+lYaMweVyo_lYu_PRES
tIgalYaMweVye tI(N30NEUT)+galYu_#_SIM+lYaMweVye_lYu_IMPH
tIgalYaMweVye tI(N30NEUT)+galYu_#_SIM+lYaMweVye_lYu_DECL
tIgalYaMweVye tI(N30NEUT)+galYu_#_SIM+lYaMweVye_lYu_RIS
tIgalYoVdaneVyA tI(N30NEUT)+galYu_#_SOC+lYoVdaneVyA_lYu_INTR
tIgalYoVdaneVyU tI(N30NEUT)+galYu_#_SOC+lYoVdaneVyU_lYu_INCL
tIgalYoVdaneVyo tI(N30NEUT)+galYu_#_SOC+lYoVdaneVyo_lYu_DUB
tIgalYoVdaneVyo tI(N30NEUT)+galYu_#_SOC+lYoVdaneVyo_lYu_INDF
tIgalYoVdaneVyo tI(N30NEUT)+galYu_#_SOC+lYoVdaneVyo_lYu_PRES
tIgalYoVdaneVye tI(N30NEUT)+galYu_#_SOC+lYoVdaneVye_lYu_IMPH
tIgalYoVdaneVye tI(N30NEUT)+galYu_#_SOC+lYoVdaneVye_lYu_DECL
tIgalYoVdaneVye tI(N30NEUT)+galYu_#_SOC+lYoVdaneVye_lYu_RIS
tIgalYoVMxigeVyA tI(N30NEUT)+galYu_#_SOC+lYoVMxigeVyA_lYu_INTR
tIgalYoVMxigeVyU tI(N30NEUT)+galYu_#_SOC+lYoVMxigeVyU_lYu_INCL
tIgalYoVMxigeVyo tI(N30NEUT)+galYu_#_SOC+lYoVMxigeVyo_lYu_DUB
tIgalYoVMxigeVyo tI(N30NEUT)+galYu_#_SOC+lYoVMxigeVyo_lYu_INDF
tIgalYoVMxigeVyo tI(N30NEUT)+galYu_#_SOC+lYoVMxigeVyo_lYu_PRES
tIgalYoVMxigeVye tI(N30NEUT)+galYu_#_SOC+lYoVMxigeVye_lYu_IMPH
tIgalYoVMxigeVye tI(N30NEUT)+galYu_#_SOC+lYoVMxigeVye_lYu_DECL
tIgalYoVMxigeVye tI(N30NEUT)+galYu_#_SOC+lYoVMxigeVye_lYu_RIS


